system,vintage,month,correctedkwh,expectedkwh
10,B,12,498.409056,491.994090
11,C,1,465.044431,448.831438
11,C,2,614.374132,585.919713
11,C,3,764.557852,722.025579
11,C,4,711.472831,663.196867
11,C,5,954.583083,914.845110
11,C,6,955.565567,919.283562
11,C,7,936.158096,887.324788
11,C,8,917.065113,871.537148
11,C,9,782.231176,733.980892
11,C,10,738.607739,701.884722
11,C,11,513.991551,477.621775
11,C,12,523.078428,488.525853
12,A,3,288.396832,353.102971
12,A,4,588.975935,525.902726
12,A,5,617.136635,571.553745
12,A,6,657.835748,616.629495
12,A,7,631.587914,604.571438
12,A,8,613.604493,586.696957
12,A,9,444.443714,418.859576
12,A,10,393.813074,368.284649
12,A,11,375.724659,362.271428
12,A,12,326.439456,333.276880
13,B,1,344.875559,338.899497
13,B,2,336.247803,323.298843
13,B,3,506.098237,456.091337
13,B,4,580.475246,522.221407
13,B,5,615.558327,567.552869
13,B,6,652.338717,612.313089
13,B,7,668.209493,600.339438
13,B,8,620.364711,582.590079
13,B,9,440.734514,415.927559
13,B,10,407.548774,365.706656
13,B,11,377.427330,359.735528
13,B,12,324.561450,330.943942
14,C,1,345.170792,336.527200
14,C,2,335.667696,321.035751
14,C,3,499.675658,452.898698
14,C,4,562.163085,518.540088
14,C,5,591.154512,563.551993
14,C,6,638.236454,607.996682
14,C,7,619.617129,596.107438
14,C,8,593.899181,578.483200
14,C,9,409.006661,412.995542
14,C,10,372.667209,363.128664
14,C,11,338.796784,357.199628
14,C,12,278.611904,328.611003
15,A,3,521.080184,577.067916
15,A,4,831.164834,754.975903
15,A,5,774.681832,706.431578
15,A,6,778.180829,787.856453
15,A,7,888.117475,826.006349
15,A,8,889.028743,795.626976
15,A,9,748.984642,709.078930
15,A,10,615.162164,567.378876
15,A,11,601.505475,578.185428
15,A,12,577.201226,530.300027
16,B,1,602.870986,556.613712
16,B,2,525.679123,473.166112
16,B,3,792.012054,745.379392
16,B,4,818.565863,749.691072
16,B,5,768.777731,701.486557
16,B,6,848.713245,782.341458
16,B,7,905.057495,820.224305
16,B,8,856.597775,790.057587
16,B,9,773.626501,704.115377
16,B,10,599.226023,563.407224
16,B,11,588.918707,574.138130
16,B,12,534.317236,526.587927
17,C,1,577.043292,552.717416
17,C,2,524.674942,469.853950
17,C,3,783.824363,740.161736
17,C,4,806.953716,744.406241
17,C,5,760.302053,696.541536
17,C,6,820.848049,776.826463
17,C,7,866.397341,814.442261
17,C,8,832.806315,784.488198
17,C,9,754.326741,699.151825
17,C,10,598.952017,559.435572
17,C,11,603.816160,570.090832
17,C,12,559.932335,522.875826
18,A,3,442.218596,403.843798
18,A,4,788.743925,716.016552
18,A,5,784.634616,721.973910
18,A,6,874.258139,793.216090
18,A,7,859.790788,788.757440
18,A,8,817.089723,746.283238
18,A,9,646.910765,508.497278
18,A,10,509.679208,451.799818
18,A,11,440.160133,439.157852
18,A,12,364.964622,361.845679
19,B,1,433.074164,396.821972
19,B,2,428.229434,397.021043
19,B,3,646.474124,625.957886
19,B,4,782.122544,712.436469
19,B,5,766.680035,718.364041
19,B,6,876.497363,789.250010
19,B,7,842.014134,784.813652
19,B,8,801.274075,742.551821
19,B,9,612.575237,505.954792
19,B,10,514.815480,449.540819
19,B,11,430.056649,436.962062
19,B,12,361.207342,360.036451
20,C,1,404.683197,394.837862
20,C,2,433.893790,395.035937
20,C,3,655.936319,622.828097
20,C,4,761.389181,708.856386
20,C,5,726.962898,714.754171
20,C,6,804.447049,785.283929
20,C,7,808.821911,780.869865
20,C,8,780.344524,738.820405
20,C,9,563.959078,503.412305
20,C,10,475.941101,447.281820
20,C,11,407.377092,434.766273
20,C,12,361.081985,358.227222
21,A,3,17.883841,301.843168
21,A,4,852.233710,1020.449938
21,A,5,1081.195970,1017.506935
21,A,6,1086.903296,1077.754476
21,A,7,1143.377195,1091.488939
21,A,8,1113.850110,1031.796137
21,A,9,937.070510,845.111649
21,A,10,690.595427,597.869173
21,A,11,568.786641,497.997614
21,A,12,506.165295,443.662468
22,B,1,510.933842,496.412816
22,B,2,533.087770,475.334658
22,B,3,796.225500,719.779861
22,B,4,1039.201046,1013.306788
22,B,5,1067.920755,1010.384387
22,B,6,1139.786608,1070.210194
22,B,7,1203.535523,1083.848516
22,B,8,1073.216056,1024.573564
22,B,9,889.014500,839.195867
22,B,10,660.582798,593.684088
22,B,11,534.935331,494.511631
22,B,12,498.400081,440.556831
23,C,1,527.154263,492.937927
23,C,2,525.699603,472.007316
23,C,3,780.830798,714.741402
23,C,4,1011.267780,1006.163639
23,C,5,1044.246642,1003.261838
23,C,6,1091.710909,1062.665913
23,C,7,1129.317393,1076.208094
23,C,8,1032.214154,1017.350991
23,C,9,877.822984,833.280086
23,C,10,672.843302,589.499004
23,C,11,533.903350,491.025648
23,C,12,471.223939,437.451194
24,A,3,98.880484,135.532513
24,A,4,603.073392,518.846003
24,A,5,636.467205,583.001618
24,A,6,683.975317,615.933329
24,A,7,696.201525,641.179913
24,A,8,656.166414,578.628395
24,A,9,502.406030,456.490126
24,A,10,382.352210,370.152057
24,A,11,308.637838,273.002857
24,A,12,260.205356,228.541854
25,B,1,272.493361,233.109409
25,B,2,284.821683,276.324101
25,B,3,431.760581,420.150789
25,B,4,542.916527,515.214081
25,B,5,614.110043,578.920607
25,B,6,651.910440,611.621796
25,B,7,651.856809,636.691654
25,B,8,613.990279,574.577996
25,B,9,496.175301,453.294695
25,B,10,379.255102,367.560992
25,B,11,286.660331,271.091837
25,B,12,256.569598,226.942061
26,C,1,269.899810,231.477643
26,C,2,283.088942,274.389833
26,C,3,424.922285,417.209733
26,C,4,569.678573,511.582159
26,C,5,621.063408,574.839596
26,C,6,629.283435,607.310262
26,C,7,671.593793,632.203394
26,C,8,619.451959,570.527597
26,C,9,477.294402,450.099265
26,C,10,357.651050,364.969928
26,C,11,280.594581,269.180817
26,C,12,242.358943,225.342268
27,A,3,91.436066,126.629662
27,A,4,773.526457,740.925041
27,A,5,770.738196,709.933603
27,A,6,810.392419,745.691752
27,A,7,822.302294,763.352988
27,A,8,789.688809,737.571088
27,A,9,723.962164,646.653194
27,A,10,581.444714,485.777134
27,A,11,555.569896,439.213236
27,A,12,503.087430,416.285304
28,B,1,525.759064,450.547812
28,B,2,465.636961,388.744846
28,B,3,654.419829,560.788504
28,B,4,788.857192,735.738566
28,B,5,762.257972,704.964068
28,B,6,794.382956,740.471909
28,B,7,797.925024,758.009517
28,B,8,804.650913,732.408090
28,B,9,684.971300,642.126622
28,B,10,562.828074,482.376695
28,B,11,533.198996,436.138743
28,B,12,464.861193,413.371307
29,C,1,506.001186,447.393978
29,C,2,442.460125,386.023633
29,C,3,622.909990,556.862985
29,C,4,740.765251,730.552091
29,C,5,735.251713,699.994533
29,C,6,824.502604,735.252067
29,C,7,825.271465,752.666046
29,C,8,783.835398,727.245093
29,C,9,648.662458,637.600049
29,C,10,555.013559,478.976255
29,C,11,555.272816,433.064251
29,C,12,508.550001,410.457310
30,A,4,408.094858,368.835128
30,A,5,475.212230,430.143223
30,A,6,501.133151,447.773799
30,A,7,522.308816,469.988008
30,A,8,500.274358,435.775104
30,A,9,406.516338,357.868624
30,A,10,334.248392,306.560182
30,A,11,275.920066,242.396135
30,A,12,251.988280,211.233642
31,B,1,260.857502,208.647640
31,B,2,243.591835,231.696329
31,B,3,353.405990,334.806062
31,B,4,446.514360,395.180495
31,B,5,458.966333,427.132220
31,B,6,477.485720,444.639383
31,B,7,471.441234,466.698092
31,B,8,462.475816,432.724678
31,B,9,394.483565,355.363544
31,B,10,309.726152,304.414260
31,B,11,257.390688,240.699362
31,B,12,234.294879,209.755006
32,C,1,245.060527,207.187106
32,C,2,241.314987,230.074454
32,C,3,346.649315,332.462420
32,C,4,431.894412,392.414231
32,C,5,453.120490,424.121218
32,C,6,458.345018,441.504966
32,C,7,490.716536,463.408176
32,C,8,457.676764,429.674252
32,C,9,378.330256,352.858463
32,C,10,305.400980,302.268339
32,C,11,258.649533,239.002589
32,C,12,232.481282,208.276371
33,A,4,305.037478,272.725565
33,A,5,1505.391251,1375.970252
33,A,6,1532.517668,1327.779890
33,A,7,1373.184132,1285.904057
33,A,8,1305.090296,1191.831041
33,A,9,1011.349622,984.262772
33,A,10,867.278441,818.933812
33,A,11,687.988310,639.387389
33,A,12,579.727189,598.380734
34,B,1,594.716367,598.380349
34,B,2,675.913576,660.737089
34,B,3,989.609276,954.558370
34,B,4,1239.704040,1168.823848
34,B,5,1511.278865,1366.338460
34,B,6,1466.006363,1318.485431
34,B,7,1400.844131,1276.902728
34,B,8,1273.936988,1183.488224
34,B,9,1001.900554,977.372933
34,B,10,850.051697,813.201275
34,B,11,611.740976,634.911677
34,B,12,614.836270,594.192069
35,C,1,575.587835,594.191687
35,C,2,663.876047,656.111930
35,C,3,941.138213,947.876461
35,C,4,1176.963222,1160.642081
35,C,5,1412.471478,1356.706668
35,C,6,1403.792055,1309.190971
35,C,7,1355.680797,1267.901400
35,C,8,1265.227064,1175.145406
35,C,9,1005.404262,970.483094
35,C,10,851.400315,807.468738
35,C,11,641.431197,630.435966
35,C,12,575.126102,590.003404
36,A,5,353.477629,364.038243
36,A,6,533.802263,1092.192993
36,A,7,1167.327309,1101.925903
36,A,8,1122.879460,1059.925415
36,A,9,935.668563,944.263916
36,A,10,752.441794,789.326233
36,A,11,632.364053,647.014465
36,A,12,604.939567,608.899170
37,B,1,573.688034,576.765808
37,B,2,611.393866,627.585938
37,B,3,784.843193,774.081177
37,B,4,1082.137544,1028.828369
37,B,5,1178.614920,1128.518555
37,B,6,1107.438916,1086.732028
37,B,7,1101.860740,1096.416274
37,B,8,1073.310894,1054.625788
37,B,9,892.418564,939.542596
37,B,10,700.245980,785.379602
37,B,11,596.415367,643.779393
37,B,12,542.601734,605.854674
38,C,1,549.804958,573.881979
38,C,2,597.827989,624.448008
38,C,3,748.426108,770.210771
38,C,4,1017.162293,1023.684227
38,C,5,1152.319970,1122.875962
38,C,6,1059.902837,1081.271063
38,C,7,1060.866868,1090.906644
38,C,8,1043.299384,1049.326161
38,C,9,899.409523,934.821277
38,C,10,731.126768,781.432971
38,C,11,617.759111,640.544321
38,C,12,556.390649,602.810178
39,A,5,347.598675,278.875589
39,A,6,1118.742480,931.960205
39,A,7,1094.488547,939.189392
39,A,8,1044.036169,898.087585
39,A,9,959.156833,795.732300
39,A,10,770.287090,659.172913
39,A,11,626.347935,536.404236
39,A,12,610.298562,500.842072
40,B,1,568.600919,478.289917
40,B,2,596.431497,522.213196
40,B,3,749.213257,648.436096
40,B,4,988.046293,872.884521
40,B,5,1099.119383,960.571472
40,B,6,1075.474108,927.300404
40,B,7,1053.680084,934.493445
40,B,8,1017.521770,893.597148
40,B,9,908.999336,791.753638
40,B,10,763.399589,655.877048
40,B,11,607.791121,533.722215
40,B,12,538.480370,498.337861
41,C,1,565.052617,475.898467
41,C,2,593.983516,519.602130
41,C,3,743.975539,645.193916
41,C,4,999.385886,868.520099
41,C,5,1059.492420,955.768615
41,C,6,1033.529927,922.640603
41,C,7,1020.301767,929.797498
41,C,8,993.820934,889.106710
41,C,9,899.206347,787.774977
41,C,10,757.177858,652.581183
41,C,11,631.572663,531.040193
41,C,12,588.444990,495.833651
42,A,6,451.158900,489.243460
42,A,7,535.870379,510.947201
42,A,8,503.715183,481.236078
42,A,9,445.140230,418.146161
42,A,10,348.457879,325.267185
42,A,11,327.999175,319.588167
42,A,12,301.023779,288.655966
43,B,1,319.242081,306.516867
43,B,2,276.749110,269.758809
43,B,3,427.153850,434.912877
43,B,4,484.364344,453.380000
43,B,5,468.667655,433.712918
43,B,6,502.999037,486.797243
43,B,7,502.160125,508.392465
43,B,8,486.240687,478.829897
43,B,9,443.059813,416.055430
43,B,10,344.849041,323.640849
43,B,11,318.816762,317.990226
43,B,12,280.270521,287.212687
44,C,1,292.358301,304.984283
44,C,2,273.943733,268.410015
44,C,3,415.446825,432.738313
44,C,4,477.027051,451.113100
44,C,5,537.026530,431.544353
44,C,6,539.792551,484.351025
44,C,7,594.646450,505.837729
44,C,8,525.856419,476.423717
44,C,9,446.308448,413.964699
44,C,10,351.446613,322.014513
44,C,11,298.308366,316.392285
44,C,12,289.171951,285.769407
45,A,5,46.618658,51.457045
45,A,6,792.116226,842.883557
45,A,7,851.530661,852.675895
45,A,8,801.784559,811.477961
45,A,9,671.542536,663.424133
45,A,10,512.838621,469.735256
45,A,11,429.765109,393.099603
45,A,12,381.706525,349.903431
46,B,1,397.185005,391.929256
46,B,2,407.968545,374.658554
46,B,3,604.058382,563.516968
46,B,4,767.759446,803.336889
46,B,5,783.339917,797.584204
46,B,6,786.404939,838.669139
46,B,7,811.077027,848.412515
46,B,8,789.666931,807.420571
46,B,9,658.911113,660.107013
46,B,10,500.784969,467.386579
46,B,11,417.186990,391.134105
46,B,12,388.551359,348.153914
47,C,1,410.808308,389.969609
47,C,2,397.886944,372.785262
47,C,3,567.251237,560.699383
47,C,4,744.569805,799.320204
47,C,5,757.256453,793.596283
47,C,6,881.517264,834.454721
47,C,7,754.091703,844.149136
47,C,8,666.312794,803.363181
47,C,9,635.816861,656.789892
47,C,10,625.114590,465.037903
47,C,11,588.970912,389.168607
47,C,12,338.231255,346.404397
48,A,5,66.171223,55.938075
48,A,6,1834.032797,1716.176422
48,A,7,1850.271296,1702.915123
48,A,8,1663.406251,1565.670005
48,A,9,1435.624875,1302.852756
48,A,10,1077.506649,999.749836
48,A,11,832.175677,750.449521
48,A,12,781.005220,660.052222
49,B,1,742.880128,657.950359
49,B,2,843.678474,778.096640
49,B,3,1170.386409,1038.622797
49,B,4,1571.462127,1509.325607
49,B,5,1859.270873,1734.080329
49,B,6,1795.087056,1707.595540
49,B,7,1825.181585,1694.400547
49,B,8,1625.343947,1557.841655
49,B,9,1315.241735,1296.338492
49,B,10,1017.662986,994.751087
49,B,11,800.279517,746.697274
49,B,12,734.499510,656.751961
50,C,1,726.634918,654.660607
50,C,2,815.897180,774.206157
50,C,3,1126.550727,1033.429683
50,C,4,1543.993932,1501.778979
50,C,5,1640.041947,1725.409927
50,C,6,1763.373483,1699.014658
50,C,7,1747.667382,1685.885972
50,C,8,1602.231004,1550.013305
50,C,9,1391.157622,1289.824229
50,C,10,1087.481699,989.752338
50,C,11,857.439102,742.945026
50,C,12,772.158943,653.451700
51,A,6,872.436699,891.036068
51,A,7,901.042555,941.871847
51,A,8,864.253716,908.491728
51,A,9,649.338775,641.001844
51,A,10,591.098086,560.117279
51,A,11,575.426571,541.558964
51,A,12,541.744771,496.615887
52,B,1,548.138068,504.216511
52,B,2,514.721264,488.385457
52,B,3,710.186606,689.141523
52,B,4,800.961957,812.718676
52,B,5,857.058234,879.711396
52,B,6,900.954932,954.681501
52,B,7,862.132378,937.162488
52,B,8,860.568186,903.949270
52,B,9,646.671026,637.796835
52,B,10,605.497976,557.316693
52,B,11,531.689822,538.851169
52,B,12,524.875856,494.132808
53,C,1,492.521306,501.695429
53,C,2,453.634417,485.943529
53,C,3,618.713630,685.695816
53,C,4,786.653982,808.655083
53,C,5,940.976304,875.312839
53,C,6,948.348771,949.908094
53,C,7,995.753228,932.453129
53,C,8,914.741013,899.406811
53,C,9,648.509604,634.591826
53,C,10,561.880113,554.516106
53,C,11,490.090252,536.143374
53,C,12,452.876104,491.649728
54,A,6,1340.092556,1241.816802
54,A,7,1499.572728,1378.721806
54,A,8,1539.048198,1366.204350
54,A,9,1392.676904,1188.689469
54,A,10,1157.556842,1025.115729
54,A,11,978.282510,851.750684
54,A,12,982.530034,767.582332
55,B,1,957.374503,812.287409
55,B,2,892.163162,848.350364
55,B,3,1115.923690,1032.854436
55,B,4,1407.789542,1259.176013
55,B,5,1531.198519,1386.283184
55,B,6,1462.559279,1330.518002
55,B,7,1494.035578,1371.828197
55,B,8,1474.630467,1359.373328
55,B,9,1328.734462,1182.746021
55,B,10,1116.089154,1019.990150
55,B,11,971.780325,847.491931
55,B,12,915.531476,763.744420
56,C,1,934.706008,808.225971
56,C,2,833.383006,844.108612
56,C,3,1028.050046,1027.690164
56,C,4,1367.232495,1252.880133
56,C,5,1435.857119,1379.351768
56,C,6,1437.632271,1323.865412
56,C,7,1455.650757,1364.934588
56,C,8,1399.017816,1352.542306
56,C,9,1252.482601,1176.802574
56,C,10,1048.681061,1014.864572
56,C,11,925.327751,843.233177
56,C,12,907.136980,759.906509
57,A,6,1361.800917,1313.910190
57,A,7,1445.652837,1422.317160
57,A,8,1418.462558,1370.817855
57,A,9,1331.761793,1229.978070
57,A,10,1143.195407,1032.287552
57,A,11,952.458295,849.935408
57,A,12,933.649194,800.197860
58,B,1,655.808598,758.465690
58,B,2,863.015988,819.696492
58,B,3,1102.756141,1002.662996
58,B,4,1445.170041,1336.870512
58,B,5,1611.181179,1457.595701
58,B,6,1524.892057,1407.760918
58,B,7,1515.790957,1415.205574
58,B,8,1429.337556,1363.963766
58,B,9,1367.588501,1223.828180
58,B,10,1080.978391,1027.126114
58,B,11,817.963258,845.685731
58,B,12,925.995013,796.196870
59,C,1,875.586058,754.673361
59,C,2,879.814406,815.598009
59,C,3,1010.947582,997.649681
59,C,4,1403.005758,1330.186160
59,C,5,1528.058997,1450.307722
59,C,6,1513.559398,1400.722113
59,C,7,1527.696471,1408.093988
59,C,8,1463.160230,1357.109676
59,C,9,1322.482097,1217.678290
59,C,10,1104.237473,1021.964676
59,C,11,957.210752,841.436054
59,C,12,896.588345,792.195881
60,A,6,1014.799687,1082.579613
60,A,7,1134.304204,1195.616077
60,A,8,1093.417230,1170.177736
60,A,9,740.121750,838.941986
60,A,10,725.371377,751.468298
60,A,11,738.604664,745.965591
60,A,12,667.483260,697.817172
61,B,1,692.202576,698.203814
61,B,2,659.369322,659.930016
61,B,3,962.842034,902.440326
61,B,4,1060.647537,1051.342153
61,B,5,1090.745018,1113.680950
61,B,6,1139.625157,1202.866236
61,B,7,1076.332504,1189.637997
61,B,8,1077.936197,1164.326848
61,B,9,787.233361,834.747276
61,B,10,708.116776,747.710956
61,B,11,724.754484,742.235763
61,B,12,620.863451,694.328086
62,C,1,660.747795,694.712795
62,C,2,652.173885,656.630366
62,C,3,933.666215,897.928124
62,C,4,1024.410376,1046.085442
62,C,5,1048.643761,1108.112546
62,C,6,1099.808031,1196.851905
62,C,7,1110.142911,1183.659916
62,C,8,1064.383993,1158.475959
62,C,9,765.053342,830.552566
62,C,10,720.939976,743.953615
62,C,11,703.869063,738.505935
62,C,12,621.786977,690.839000
63,A,7,963.615032,925.227905
63,A,8,848.179860,803.427063
63,A,9,817.083008,781.347839
63,A,10,716.225276,658.656982
63,A,11,644.317762,595.455872
64,B,1,634.385286,566.726868
64,B,2,656.679763,602.811584
64,B,3,769.297506,731.524475
64,B,4,974.711300,931.547607
64,B,5,1025.165449,984.955688
64,B,6,713.024154,685.132690
64,B,7,912.528833,920.601766
64,B,8,844.725820,799.409928
64,B,9,792.712867,777.441100
64,B,10,641.497295,655.363698
64,B,11,614.125688,592.478592
64,B,12,562.636809,473.013976
65,C,1,536.095622,563.893233
65,C,2,609.533077,599.797527
65,C,3,699.100981,727.866853
65,C,4,941.835328,926.889869
65,C,5,1101.864066,980.030910
65,C,6,697.917742,681.707027
65,C,7,1013.741852,915.975626
65,C,8,847.693193,795.392792
65,C,9,794.570822,773.534361
65,C,10,669.823992,652.070413
65,C,11,546.220301,589.501313
65,C,12,518.189773,470.637021
66,A,6,1215.061889,1116.564890
66,A,7,1329.524309,1225.911873
66,A,8,1281.187832,1164.839556
66,A,9,894.401698,800.769631
66,A,10,818.925246,728.246889
66,A,11,808.387064,710.735027
66,A,12,719.172342,583.648920
67,B,1,748.420362,633.439830
67,B,2,711.676397,629.897893
67,B,3,1025.819063,982.431905
67,B,4,1181.015530,1121.587067
67,B,5,1225.207019,1134.909785
67,B,6,1322.574564,1240.627656
67,B,7,1305.960356,1219.782314
67,B,8,1254.820909,1159.015358
67,B,9,899.390999,796.765782
67,B,10,829.525903,724.605655
67,B,11,812.304547,707.181352
67,B,12,698.654421,580.730676
68,C,1,733.183615,630.272631
68,C,2,716.283004,626.748403
68,C,3,1026.775240,977.519745
68,C,4,1157.264745,1115.979132
68,C,5,1192.478402,1129.235236
68,C,6,1297.082550,1234.424518
68,C,7,1262.225568,1213.652755
68,C,8,1219.209094,1153.191160
68,C,9,860.488881,792.761934
68,C,10,801.662863,720.964420
68,C,11,831.975403,703.627677
68,C,12,728.150022,577.812431
69,A,6,1302.073582,1082.039225
69,A,7,1935.802231,1638.739014
69,A,8,1869.891051,1549.065216
69,A,9,1618.947806,1370.216858
69,A,10,1291.640702,1061.831390
69,A,11,1008.983742,894.169556
69,A,12,1030.552283,904.130417
70,B,1,982.712781,860.871338
70,B,2,936.759659,775.764526
70,B,3,1157.017453,960.347748
70,B,4,1797.913244,1578.875244
70,B,5,1902.052093,1620.552429
70,B,6,1860.926499,1623.058838
70,B,7,1859.619686,1630.545319
70,B,8,1820.042196,1541.319890
70,B,9,1580.012026,1363.365774
70,B,10,1235.848526,1056.522233
70,B,11,985.132425,889.698708
70,B,12,928.573341,899.609765
71,C,1,985.388288,856.566981
71,C,2,975.566761,771.885704
71,C,3,1178.650601,955.546009
71,C,4,1751.674572,1570.980868
71,C,5,1860.983813,1612.449667
71,C,6,1799.634232,1614.943544
71,C,7,1802.062750,1622.351624
71,C,8,1698.498906,1533.574564
71,C,9,1497.302765,1356.514689
71,C,10,1201.108047,1051.213076
71,C,11,1003.001828,885.227860
71,C,12,947.623040,895.089113
72,A,6,1007.088565,764.415079
72,A,7,1709.346873,1390.799516
72,A,8,1559.859907,1418.512486
72,A,9,1325.059119,1312.385591
72,A,10,1015.163347,1282.576369
72,A,11,807.837087,1162.600573
72,A,12,699.052832,1089.998909
73,B,1,696.249326,1010.788670
73,B,2,734.492914,1003.573810
73,B,3,1118.436936,1287.897216
73,B,4,1420.834515,1332.691943
73,B,5,1428.625393,1321.592747
73,B,6,1448.393808,1274.025132
73,B,7,1535.706633,1383.845519
73,B,8,1266.366060,1411.419923
73,B,9,975.363668,1305.823663
73,B,10,902.584703,1276.163487
73,B,11,746.860721,1156.787570
73,B,12,657.072886,1084.548915
74,C,1,688.278609,1005.734726
74,C,2,713.809195,998.555940
74,C,3,1063.930022,1281.457730
74,C,4,1346.177244,1326.028484
74,C,5,1279.105525,1314.984783
74,C,6,1421.195045,1267.655006
74,C,7,1401.740433,1376.891521
74,C,8,1332.871142,1404.327361
74,C,9,1016.460110,1299.261735
74,C,10,879.183345,1269.750606
74,C,11,674.833781,1150.974568
74,C,12,605.063220,1079.098920
75,A,6,597.267852,507.816755
75,A,7,973.442510,899.428467
75,A,8,918.970992,848.560787
75,A,9,796.409508,707.624261
75,A,10,624.590850,617.450272
75,A,11,586.937637,500.234061
75,A,12,464.205555,446.111559
76,B,1,509.678373,432.795939
76,B,2,487.200102,473.940661
76,B,3,669.702415,666.411036
76,B,4,758.064164,770.498575
76,B,5,846.146926,833.847902
76,B,6,884.273175,846.361258
76,B,7,820.614518,894.931324
76,B,8,703.553296,844.317983
76,B,9,669.846651,704.086140
76,B,10,689.154727,614.363021
76,B,11,654.081974,497.732891
76,B,12,486.387182,443.881001
77,C,1,447.401782,430.631959
77,C,2,479.203872,471.570958
77,C,3,673.128548,663.078981
77,C,4,816.367136,766.646082
77,C,5,864.354077,829.678663
77,C,6,862.667522,842.129452
77,C,7,910.105782,890.434182
77,C,8,839.443207,840.075179
77,C,9,677.543494,700.548018
77,C,10,658.192055,611.275769
77,C,11,494.314918,495.231721
